#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
Un	NW_003816427.1	1012261	1029096	-	100919540	HMG20A	XP_012396169.1	346	PREDICTED: high mobility group protein 20A isoform X2
Un	NW_003816427.1	1012261	1029096	-	100919540	HMG20A	XP_003754928.1	347	PREDICTED: high mobility group protein 20A isoform X1
Un	NW_003816427.1	1272531	1320977	+	100919800	PEAK1	XP_003754929.1	1737	PREDICTED: pseudopodium-enriched atypical kinase 1
Un	NW_003816427.1	1378883	1393871	+	100922934	TSPAN3	XP_003754941.1	268	PREDICTED: tetraspanin-3
Un	NW_003816427.1	1395600	1489629	-	100923195	PSTPIP1	XP_012405685.1	622	PREDICTED: proline-serine-threonine phosphatase-interacting protein 1
Un	NW_003816427.1	1543696	1559956	-	100923458	RCN2	XP_003754943.1	463	PREDICTED: reticulocalbin-2
Un	NW_003816427.1	1589827	1957444	+	100923719	SCAPER	XP_012406921.1	1521	PREDICTED: S phase cyclin A-associated protein in the endoplasmic reticulum
Un	NW_003816427.1	1966149	2027304	-	100920065	ISL2	XP_003754930.2	626	PREDICTED: insulin gene enhancer protein ISL-2
Un	NW_003816427.1	2059624	2103772	+	100920328	ETFA	XP_003754931.1	318	PREDICTED: electron transfer flavoprotein subunit alpha, mitochondrial
Un	NW_003816427.1	2121322	2213031	-	100923984	C1H15orf27	XP_012395536.1	512	PREDICTED: transmembrane protein C15orf27 homolog
Un	NW_003816427.1	2314167	2380596	+	100920586	NRG4	XP_012395422.1	133	PREDICTED: pro-neuregulin-4, membrane-bound isoform
Un	NW_003816427.1	2383912	2408568	-	100924252	FBXO22	XP_012408085.1	446	PREDICTED: F-box only protein 22
Un	NW_003816427.1	2419486	2467976	-	100924513	UBE2Q2	XP_012408581.1	356	PREDICTED: ubiquitin-conjugating enzyme E2 Q2
Un	NW_003816427.1	2611829	2632911	+	100920846	CHRNB4	XP_003754934.1	503	PREDICTED: neuronal acetylcholine receptor subunit beta-4 isoform X1
Un	NW_003816427.1	2611829	2632911	+	100920846	CHRNB4	XP_003754933.1	488	PREDICTED: neuronal acetylcholine receptor subunit beta-4 isoform X2
Un	NW_003816427.1	2640784	2664563	+	100921280	CHRNA3	XP_003754935.1	486	PREDICTED: neuronal acetylcholine receptor subunit alpha-3, partial
Un	NW_003816427.1	2669730	2679557	-	100924779	CHRNA5	XP_003754948.1	445	PREDICTED: neuronal acetylcholine receptor subunit alpha-5
Un	NW_003816427.1	2714795	2721248	-	100921548	PSMA4	XP_003754936.1	261	PREDICTED: proteasome subunit alpha type-4
Un	NW_003816427.1	2725698	2734555	-	100925038	HYKK	XP_012396013.1	377	PREDICTED: hydroxylysine kinase
Un	NW_003816427.1	2746965	2859465	-	100925290	IREB2	XP_003754950.1	1088	PREDICTED: iron-responsive element-binding protein 2
Un	NW_003816427.1	2862239	2882059	-	100925547	CRABP1	XP_003754951.2	432	PREDICTED: cellular retinoic acid-binding protein 1
Un	NW_003816427.1	2917585	2941196	+	100925814	WDR61	XP_003754952.1	309	PREDICTED: WD repeat-containing protein 61
Un	NW_003816427.1	2917585	2941196	+	100925814	WDR61	XP_012409471.1	309	PREDICTED: WD repeat-containing protein 61
Un	NW_003816427.1	2944858	2957667	-	100921983	DNAJA4	XP_003754938.1	397	PREDICTED: dnaJ homolog subfamily A member 4
Un	NW_003816427.1	3003624	3102237	+	100922242	ACSBG1	XP_012395651.1	736	PREDICTED: long-chain-fatty-acid--CoA ligase ACSBG1
Un	NW_003816427.1	3104815	3124198	-	100926332	IDH3A	XP_003754953.1	552	PREDICTED: isocitrate dehydrogenase
Un	NW_003816427.1	3163665	3169344	+	100926595	CIB2	XP_012395353.1	144	PREDICTED: calcium and integrin-binding family member 2
Un	NW_003816427.1	3175000	3183595	-	100926858	SH2D7	XP_003754955.2	510	PREDICTED: SH2 domain-containing protein 7
Un	NW_003816427.1	3364738	3468977	-	100927114	ADAMTS7	XP_012409341.1	828	PREDICTED: A disintegrin and metalloproteinase with thrombospondin motifs 7
Un	NW_003816427.1	3573052	3591747	+	100927371	MORF4L1	XP_012395844.1	261	PREDICTED: mortality factor 4-like protein 1 isoform X3
Un	NW_003816427.1	3573052	3591747	+	100927371	MORF4L1	XP_012395887.1	261	PREDICTED: mortality factor 4-like protein 1 isoform X3
Un	NW_003816427.1	3573052	3591747	+	100927371	MORF4L1	XP_012395714.1	254	PREDICTED: mortality factor 4-like protein 1 isoform X1
Un	NW_003816427.1	3573052	3591747	+	100927371	MORF4L1	XP_012395756.1	242	PREDICTED: mortality factor 4-like protein 1 isoform X2
Un	NW_003816427.1	3573052	3591747	+	100927371	MORF4L1	XP_012395796.1	242	PREDICTED: mortality factor 4-like protein 1 isoform X2
Un	NW_003816427.1	3644241	3666898	+	100927632	LOC100927632	XP_003754958.1	494	PREDICTED: cytochrome P450 2C23-like
Un	NW_003816428.1	35200	55351	-	100928062	LOC100928062	XP_003754959.1	492	PREDICTED: cytochrome P450 2C23-like
Un	NW_003816428.1	102365	112099	-	100929351	SNCG	XP_012396407.1	130	PREDICTED: gamma-synuclein
Un	NW_003816428.1	117034	163368	+	100929607	MMRN2	XP_012396446.1	989	PREDICTED: multimerin-2
Un	NW_003816428.1	174247	194105	-	100928319	BMPR1A	XP_003754960.1	533	PREDICTED: bone morphogenetic protein receptor type-1A
Un	NW_003816428.1	304513	389568	-	100929863	LDB3	XP_003754966.1	769	PREDICTED: LOW QUALITY PROTEIN: LIM domain-binding protein 3
Un	NW_003816428.1	421876	449206	-	100928579	OPN4	XP_003754961.1	490	PREDICTED: melanopsin
Un	NW_003816428.1	540686	541021	+	100928840	LOC100928840	XP_003754962.1	111	PREDICTED: cytochrome c oxidase subunit 6A1, mitochondrial-like
Un	NW_003816428.1	563864	648022	+	100929095	WAPAL	XP_012396616.1	1205	PREDICTED: wings apart-like protein homolog isoform X1
Un	NW_003816428.1	563864	648022	+	100929095	WAPAL	XP_012396646.1	1199	PREDICTED: wings apart-like protein homolog isoform X2
Un	NW_003816428.1	565515	648022	+	100929095	WAPAL	XP_003754963.1	1195	PREDICTED: wings apart-like protein homolog isoform X3
Un	NW_003816429.1	74473	673986	+	100930645	GRID1	XP_003754969.1	847	PREDICTED: glutamate receptor ionotropic, delta-1
Un	NW_003816429.1	1855212	1950555	-	100930125	CCSER2	XP_012396943.1	1055	PREDICTED: serine-rich coiled-coil domain-containing protein 2 isoform X2
Un	NW_003816429.1	1855212	1950555	-	100930125	CCSER2	XP_012396894.1	1056	PREDICTED: serine-rich coiled-coil domain-containing protein 2 isoform X1
Un	NW_003816429.1	1855212	1904775	-	100930125	CCSER2	XP_012396978.1	474	PREDICTED: serine-rich coiled-coil domain-containing protein 2 isoform X3
Un	NW_003816430.1	4048	53564	+	100931955	FAM21C	XP_012397643.1	1271	PREDICTED: WASH complex subunit FAM21C isoform X1
Un	NW_003816430.1	4048	53564	+	100931955	FAM21C	XP_012397696.1	1255	PREDICTED: WASH complex subunit FAM21C isoform X2
Un	NW_003816430.1	74187	118728	+	100931433	ZFAND4	XP_012397250.1	742	PREDICTED: AN1-type zinc finger protein 4 isoform X3
Un	NW_003816430.1	74187	117042	+	100931433	ZFAND4	XP_012397213.1	649	PREDICTED: AN1-type zinc finger protein 4 isoform X2
Un	NW_003816430.1	74187	110965	+	100931433	ZFAND4	XP_012397178.1	672	PREDICTED: AN1-type zinc finger protein 4 isoform X1
Un	NW_003816430.1	157782	231887	+	100931695	MARCH8	XP_012397513.1	573	PREDICTED: E3 ubiquitin-protein ligase MARCH8 isoform X2
Un	NW_003816430.1	157782	231887	+	100931695	MARCH8	XP_003754973.1	289	PREDICTED: E3 ubiquitin-protein ligase MARCH8 isoform X1
Un	NW_003816430.1	237294	252517	+	100932213	LOC100932213	XP_012397579.1	272	PREDICTED: protein FAM73A-like
Un	NW_003816430.1	259652	360565	-	100932471	ALOX5	XP_012397040.1	724	PREDICTED: arachidonate 5-lipoxygenase
Un	NW_003816430.1	360602	434647	-	100932728	CRTC3	XP_012397105.1	589	PREDICTED: CREB-regulated transcription coactivator 3
Un	NW_003816430.1	440931	550510	-	100933251	IQGAP1	XP_012397391.1	1627	PREDICTED: ras GTPase-activating-like protein IQGAP1
Un	NW_003816430.1	606705	609952	-	100933511	ZNF774	XP_003754980.1	485	PREDICTED: zinc finger protein 774
Un	NW_003816431.1	31524	86908	+	100934029	ERLIN1	XP_003754982.1	349	PREDICTED: erlin-1
Un	NW_003816431.1	138539	173719	-	100934290	LOC100934290	XP_012397767.1	440	PREDICTED: protein Wnt-8b-like
Un	NW_003816432.1	3349	36928	+	100913624	CHUK	XP_012399450.1	670	PREDICTED: inhibitor of nuclear factor kappa-B kinase subunit alpha isoform X1
Un	NW_003816432.1	3349	32783	+	100913624	CHUK	XP_012399486.1	565	PREDICTED: inhibitor of nuclear factor kappa-B kinase subunit alpha isoform X2
Un	NW_003816432.1	10778	36950	+	100913624	CHUK	XP_012399525.1	537	PREDICTED: inhibitor of nuclear factor kappa-B kinase subunit alpha isoform X3
Un	NW_003816432.1	60868	62994	-	100913889	LOC100913889	XP_003754990.1	171	PREDICTED: homeobox protein MSH-C-like
Un	NW_003816432.1	519425	554029	-	100914150	CALY	XP_003754991.1	193	PREDICTED: neuron-specific vesicular protein calcyon
Un	NW_003816432.1	656333	677459	+	105749461	LOC105749461	XP_012398044.1	191	PREDICTED: proline-rich acidic protein 1-like
Un	NW_003816432.1	692333	726825	-	100934549	FUOM	XP_003754984.1	133	PREDICTED: fucose mutarotase
Un	NW_003816432.1	751008	770204	-	100934811	ECHS1	XP_003754985.1	290	PREDICTED: enoyl-CoA hydratase, mitochondrial
Un	NW_003816432.1	775477	787594	+	100935074	PAOX	XP_012398826.1	536	PREDICTED: peroxisomal N(1)-acetyl-spermine/spermidine oxidase isoform X1
Un	NW_003816432.1	775477	787594	+	100935074	PAOX	XP_003754986.1	511	PREDICTED: peroxisomal N(1)-acetyl-spermine/spermidine oxidase isoform X2
Un	NW_003816432.1	775477	784130	+	100935074	PAOX	XP_012398928.1	424	PREDICTED: peroxisomal N(1)-acetyl-spermine/spermidine oxidase isoform X3
Un	NW_003816432.1	792474	805526	+	100935332	MTG1	XP_003754987.1	336	PREDICTED: mitochondrial ribosome-associated GTPase 1
Un	NW_003816432.1	811175	811611	-	100914406	SPRN	XP_003754992.2	145	PREDICTED: LOW QUALITY PROTEIN: shadow of prion protein
Un	NW_003816432.1	840396	841322	+	100913358	LOC100913358	XP_003754988.1	308	PREDICTED: olfactory receptor 287
Un	NW_003816432.1	853071	854027	-	100914666	LOC100914666	XP_012398156.1	318	PREDICTED: olfactory receptor 6B1-like
Un	NW_003816432.1	884116	914195	+	100914928	LOC100914928	XP_012398220.1	1024	PREDICTED: scavenger receptor cysteine-rich domain-containing protein SCART1-like
Un	NW_003816432.1	949820	950749	+	100915444	LOC100915444	XP_003754995.1	309	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816432.1	963579	964508	+	100915707	LOC100915707	XP_003754996.1	309	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816432.1	981648	982580	+	100915965	LOC100915965	XP_003754997.1	310	PREDICTED: olfactory receptor 13G1-like
Un	NW_003816432.1	996446	997378	+	100916231	LOC100916231	XP_003754998.1	310	PREDICTED: olfactory receptor 13G1-like
Un	NW_003816432.1	1027324	1028250	+	100916494	LOC100916494	XP_012399057.1	308	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816432.1	1091180	1095056	+	100917279	LOC100917279	XP_012398695.1	207	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816432.1	1106444	1107373	+	100917793	LOC100917793	XP_012399134.1	309	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816433.1	4433	5374	+	100919095	LOC100919095	XP_003755005.1	313	PREDICTED: olfactory receptor 6C75-like
Un	NW_003816433.1	34815	35747	+	100918057	LOC100918057	XP_003755002.1	310	PREDICTED: olfactory receptor 13A1-like
Un	NW_003816433.1	46078	47019	+	100919356	LOC100919356	XP_003755006.2	313	PREDICTED: olfactory receptor 49-like
Un	NW_003816433.1	76474	77415	+	100919623	LOC100919623	XP_012400615.1	313	PREDICTED: olfactory receptor 6C4-like
Un	NW_003816433.1	117153	117830	-	100919887	ZNF22	XP_003755008.1	225	PREDICTED: zinc finger protein 22
Un	NW_003816433.1	117153	117830	-	100919887	ZNF22	XP_012400774.1	225	PREDICTED: zinc finger protein 22
Un	NW_003816433.1	117153	117830	-	100919887	ZNF22	XP_012400811.1	225	PREDICTED: zinc finger protein 22
Un	NW_003816433.1	138717	195190	-	100920147	RASSF4	XP_012400372.1	324	PREDICTED: ras association domain-containing protein 4
Un	NW_003816433.1	174664	175353	+	105749871	C1H10orf10	XP_012400432.1	229	PREDICTED: protein DEPP
Un	NW_003816433.1	277953	323975	-	100918316	TMEM72	XP_003755003.2	379	PREDICTED: LOW QUALITY PROTEIN: transmembrane protein 72
Un	NW_003816433.1	984701	1002862	+	100918574	CXCL12	XP_003755004.1	93	PREDICTED: stromal cell-derived factor 1 isoform X2
Un	NW_003816433.1	984701	999281	+	100918574	CXCL12	XP_012400274.1	119	PREDICTED: stromal cell-derived factor 1 isoform X1
Un	NW_003816433.1	2034935	2086645	+	100918829	ARIH1	XP_003775276.2	459	PREDICTED: E3 ubiquitin-protein ligase ARIH1
Un	NW_003816433.1	2098789	2157055	+	100921192	BBS4	XP_012400202.1	529	PREDICTED: Bardet-Biedl syndrome 4 protein isoform X2
Un	NW_003816433.1	2111813	2157055	+	100921192	BBS4	XP_012400121.1	545	PREDICTED: Bardet-Biedl syndrome 4 protein isoform X1
Un	NW_003816433.1	2111813	2157055	+	100921192	BBS4	XP_012400162.1	545	PREDICTED: Bardet-Biedl syndrome 4 protein isoform X1
Un	NW_003816433.1	2162948	2191041	-	100921460	ADPGK	XP_003755012.1	420	PREDICTED: ADP-dependent glucokinase
Un	NW_003816433.1	2622139	2802630	+	100921722	NEO1	XP_012399932.1	1538	PREDICTED: neogenin
Un	NW_003816433.1	2831074	3001900	-	100921984	HCN4	XP_012399992.1	819	PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Un	NW_003816433.1	3054659	3201064	+	100922243	REC114	XP_012400052.1	292	PREDICTED: meiotic recombination protein REC114
Un	NW_003816433.1	3203119	3232681	-	100922502	NPTN	XP_012400676.1	361	PREDICTED: neuroplastin
Un	NW_003816434.1	88434	143490	-	100925375	C1H15orf59	XP_003755027.1	307	PREDICTED: UPF0583 protein C15orf59 homolog
Un	NW_003816434.1	534057	553587	+	100923020	TBC1D21	XP_003755018.1	336	PREDICTED: TBC1 domain family member 21
Un	NW_003816434.1	698069	772785	+	100925902	PML	XP_012400860.1	797	PREDICTED: protein PML
Un	NW_003816434.1	877956	923955	-	100926425	STRA6	XP_012400903.1	523	PREDICTED: LOW QUALITY PROTEIN: stimulated by retinoic acid gene 6 protein homolog, partial
Un	NW_003816434.1	1005413	1215705	+	100926944	CCDC33	XP_012400968.1	847	PREDICTED: coiled-coil domain-containing protein 33
Un	NW_003816434.1	1218103	1240415	-	100923284	LOC100923284	XP_003755019.1	524	PREDICTED: cholesterol side-chain cleavage enzyme, mitochondrial
Un	NW_003816434.1	1386770	1436212	-	100927197	SEMA7A	XP_012401037.1	1005	PREDICTED: semaphorin-7A
Un	NW_003816434.1	1489775	1507963	-	100923541	UBL7	XP_003755020.1	403	PREDICTED: ubiquitin-like protein 7 isoform X2
Un	NW_003816434.1	1489775	1507963	-	100923541	UBL7	XP_012401482.1	420	PREDICTED: ubiquitin-like protein 7 isoform X1
Un	NW_003816434.1	1527133	1528215	-	100923807	LOC100923807	XP_012402194.1	360	PREDICTED: actin, cytoplasmic 1-like
Un	NW_003816434.1	1533235	1578453	+	100924067	ARID3B	XP_012401594.1	540	PREDICTED: AT-rich interactive domain-containing protein 3B isoform X1
Un	NW_003816434.1	1533235	1578453	+	100924067	ARID3B	XP_012401635.1	539	PREDICTED: AT-rich interactive domain-containing protein 3B isoform X2
Un	NW_003816434.1	1592332	1594434	+	105750130	LOC105750130	XP_012402445.1	185	PREDICTED: synaptotagmin-13-like
Un	NW_003816434.1	1597786	1632365	-	100927448	LOC100927448	XP_012401115.1	854	PREDICTED: trichohyalin
Un	NW_003816434.1	1657074	1676325	+	100924333	CLK3	XP_003755023.1	490	PREDICTED: dual specificity protein kinase CLK3
Un	NW_003816434.1	1680464	1728462	-	100924593	EDC3	XP_003755024.1	506	PREDICTED: enhancer of mRNA-decapping protein 3
Un	NW_003816434.1	1766394	1771702	-	100927711	LOC100927711	XP_003755034.1	516	PREDICTED: cytochrome P450 1A1-like
Un	NW_003816434.1	1855331	1870199	+	100924855	CSK	XP_003755025.1	450	PREDICTED: tyrosine-protein kinase CSK
Un	NW_003816434.1	1855331	1870199	+	100924855	CSK	XP_012402572.1	450	PREDICTED: tyrosine-protein kinase CSK
Un	NW_003816434.1	1855331	1870199	+	100924855	CSK	XP_012402618.1	450	PREDICTED: tyrosine-protein kinase CSK
Un	NW_003816434.1	1890101	1901666	-	100927964	ULK3	XP_012401187.1	581	PREDICTED: serine/threonine-protein kinase ULK3
Un	NW_003816434.1	1902419	1923402	-	100925117	SCAMP2	XP_003755026.1	331	PREDICTED: secretory carrier-associated membrane protein 2 isoform X1
Un	NW_003816434.1	1903936	1923402	-	100925117	SCAMP2	XP_012402374.1	266	PREDICTED: secretory carrier-associated membrane protein 2 isoform X2
Un	NW_003816434.1	1933064	1943892	+	100928228	MPI	XP_003755036.1	421	PREDICTED: mannose-6-phosphate isomerase
Un	NW_003816434.1	1947970	1955779	-	100928484	FAM219B	XP_003755037.1	248	PREDICTED: protein FAM219B
Un	NW_003816434.1	1965183	1975764	-	100928744	LOC100928744	XP_012401335.1	123	PREDICTED: cytochrome c oxidase subunit 5A, mitochondrial
Un	NW_003816434.1	2100089	2110590	+	100929262	SCAMP5	XP_012401999.1	164	PREDICTED: LOW QUALITY PROTEIN: secretory carrier-associated membrane protein 5
Un	NW_003816435.1	6514	40649	-	100929520	SIN3A	XP_003755040.1	1274	PREDICTED: paired amphipathic helix protein Sin3a
Un	NW_003816435.1	6514	40649	-	100929520	SIN3A	XP_012403175.1	1274	PREDICTED: paired amphipathic helix protein Sin3a
Un	NW_003816435.1	95166	135501	-	100930729	PTPN9	XP_003755045.1	800	PREDICTED: tyrosine-protein phosphatase non-receptor type 9
Un	NW_003816435.1	169464	190367	-	100930991	SNUPN	XP_012402754.1	310	PREDICTED: snurportin-1
Un	NW_003816435.1	212004	212558	-	100930029	IMP3	XP_003755042.1	184	PREDICTED: U3 small nucleolar ribonucleoprotein protein IMP3
Un	NW_003816435.1	229520	244126	+	100929769	SNX33	XP_003755041.1	566	PREDICTED: LOW QUALITY PROTEIN: sorting nexin-33
Un	NW_003816435.1	280285	309393	-	100931257	CSPG4	XP_012402809.1	2085	PREDICTED: chondroitin sulfate proteoglycan 4, partial
Un	NW_003816435.1	410966	422934	+	100930292	ODF3L1	XP_003755043.1	278	PREDICTED: outer dense fiber protein 3-like protein 1
Un	NW_003816435.1	449217	511491	+	100931521	SGPL1	XP_012402959.1	568	PREDICTED: sphingosine-1-phosphate lyase 1
Un	NW_003816435.1	516811	543002	-	100931782	PCBD1	XP_003755049.1	160	PREDICTED: pterin-4-alpha-carbinolamine dehydratase
Un	NW_003816436.1	198297	202471	+	105750310	LOC105750310	XP_012403237.1	172	PREDICTED: probable tRNA pseudouridine synthase 2
Un	NW_003816436.1	208479	386008	-	100932041	SWI5	XP_012403301.1	410	PREDICTED: DNA repair protein SWI5 homolog
Un	NW_003816436.1	424348	492456	+	100932553	UNC5B	XP_003755052.1	1064	PREDICTED: netrin receptor UNC5B
Un	NW_003816436.1	529081	599115	+	100932816	SLC29A3	XP_012403422.1	472	PREDICTED: equilibrative nucleoside transporter 3
Un	NW_003816437.1	16875	53941	+	100934379	FAM175B	XP_012404496.1	410	PREDICTED: BRISC complex subunit Abro1
Un	NW_003816437.1	164979	216841	+	100933343	ZRANB1	XP_003755054.1	708	PREDICTED: ubiquitin thioesterase ZRANB1 isoform X1
Un	NW_003816437.1	164979	216841	+	100933343	ZRANB1	XP_012404596.1	647	PREDICTED: ubiquitin thioesterase ZRANB1 isoform X2
Un	NW_003816437.1	221989	246613	-	100934642	CTBP2	XP_012403479.1	1171	PREDICTED: C-terminal-binding protein 2
Un	NW_003816437.1	605329	608705	-	100934904	TEX36	XP_012404323.1	189	PREDICTED: testis-expressed sequence 36 protein
Un	NW_003816437.1	645116	675690	+	100935163	EDRF1	XP_003755061.1	1171	PREDICTED: erythroid differentiation-related factor 1
Un	NW_003816437.1	678154	684108	-	100913188	MMP21	XP_003755062.1	562	PREDICTED: matrix metalloproteinase-21
Un	NW_003816437.1	691187	705886	-	100933602	UROS	XP_012404089.1	282	PREDICTED: uroporphyrinogen-III synthase isoform X2
Un	NW_003816437.1	691187	705844	-	100933602	UROS	XP_012404133.1	268	PREDICTED: uroporphyrinogen-III synthase isoform X3
Un	NW_003816437.1	691187	705622	-	100933602	UROS	XP_003755055.2	282	PREDICTED: uroporphyrinogen-III synthase isoform X1
Un	NW_003816437.1	712496	719825	+	100913448	BCCIP	XP_003755063.1	323	PREDICTED: BRCA2 and CDKN1A-interacting protein
Un	NW_003816437.1	720257	753915	-	100913713	DHX32	XP_012403742.1	755	PREDICTED: putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32
Un	NW_003816437.1	783158	848260	+	100933859	FANK1	XP_003755056.1	354	PREDICTED: fibronectin type 3 and ankyrin repeat domains protein 1 isoform X2
Un	NW_003816437.1	823493	848260	+	100933859	FANK1	XP_012404204.1	392	PREDICTED: fibronectin type 3 and ankyrin repeat domains protein 1 isoform X1
Un	NW_003816437.1	856287	1134365	-	100914499	ADAM12	XP_012403806.1	849	PREDICTED: disintegrin and metalloproteinase domain-containing protein 12
Un	NW_003816437.1	1224346	1480324	-	100914759	C1H10orf90	XP_003755067.2	801	PREDICTED: centrosomal protein C10orf90 homolog
Un	NW_003816437.1	1681517	2104891	+	100915278	DOCK1	XP_012403994.1	2024	PREDICTED: dedicator of cytokinesis protein 1, partial
Un	NW_003816437.1	1819744	1855320	-	100934121	FAM196A	XP_003755057.1	477	PREDICTED: protein FAM196A
Un	NW_003816438.1	6742	24277	-	100917714	SUPV3L1	XP_003755078.1	779	PREDICTED: ATP-dependent RNA helicase SUPV3L1, mitochondrial
Un	NW_003816438.1	36921	49167	-	100917975	VPS26A	XP_012404716.1	333	PREDICTED: vacuolar protein sorting-associated protein 26A
Un	NW_003816438.1	78138	94761	-	105750583	SRGN	XP_012405613.1	152	PREDICTED: serglycin
Un	NW_003816438.1	134832	146237	-	100918235	KIF1BP	XP_003755080.1	504	PREDICTED: KIF1-binding protein
Un	NW_003816438.1	152254	167961	-	100918496	DDX21	XP_012405947.1	816	PREDICTED: nucleolar RNA helicase 2
Un	NW_003816438.1	175399	194230	-	100918756	DDX50	XP_012405840.1	534	PREDICTED: ATP-dependent RNA helicase DDX50
Un	NW_003816438.1	217614	229605	-	100919017	STOX1	XP_012405504.1	863	PREDICTED: storkhead-box protein 1
Un	NW_003816438.1	324393	373299	-	100915537	CCAR1	XP_012405745.1	1139	PREDICTED: cell division cycle and apoptosis regulator protein 1 isoform X2
Un	NW_003816438.1	324393	373299	-	100915537	CCAR1	XP_003755069.1	1149	PREDICTED: cell division cycle and apoptosis regulator protein 1 isoform X1
Un	NW_003816438.1	408931	533537	-	100919541	TET1	XP_012404824.1	1596	PREDICTED: methylcytosine dioxygenase TET1
Un	NW_003816438.1	641148	662993	+	100919801	SLC25A16	XP_012404888.1	291	PREDICTED: graves disease carrier protein, partial
Un	NW_003816438.1	680017	716003	+	100920066	DNA2	XP_012404957.1	1027	PREDICTED: DNA replication ATP-dependent helicase/nuclease DNA2
Un	NW_003816438.1	725302	763139	+	100920329	RUFY2	XP_012405073.1	590	PREDICTED: RUN and FYVE domain-containing protein 2
Un	NW_003816438.1	767230	771956	-	100915801	HNRNPH3	XP_012406067.1	327	PREDICTED: heterogeneous nuclear ribonucleoprotein H3 isoform X2
Un	NW_003816438.1	767230	771956	-	100915801	HNRNPH3	XP_003755070.1	342	PREDICTED: heterogeneous nuclear ribonucleoprotein H3 isoform X1
Un	NW_003816438.1	790372	807149	+	100916059	PBLD	XP_003755071.1	288	PREDICTED: phenazine biosynthesis-like domain-containing protein isoform X1
Un	NW_003816438.1	799620	807149	+	100916059	PBLD	XP_012405155.1	247	PREDICTED: phenazine biosynthesis-like domain-containing protein isoform X2
Un	NW_003816438.1	799620	807149	+	100916059	PBLD	XP_012405209.1	247	PREDICTED: phenazine biosynthesis-like domain-containing protein isoform X2
Un	NW_003816438.1	841349	841804	+	100916322	ATOH7	XP_003755072.1	151	PREDICTED: protein atonal homolog 7
Un	NW_003816438.1	860845	941644	-	100916589	MYPN	XP_003755073.1	1323	PREDICTED: myopalladin
Un	NW_003816438.1	993845	1075404	+	100916847	HERC4	XP_003755075.1	1049	PREDICTED: probable E3 ubiquitin-protein ligase HERC4
Un	NW_003816438.1	1083130	1105990	-	100920847	SIRT1	XP_012405899.1	551	PREDICTED: NAD-dependent protein deacetylase sirtuin-1
Un	NW_003816438.1	1138917	1169406	+	100917454	DNAJC12	XP_003755077.1	193	PREDICTED: dnaJ homolog subfamily C member 12
Un	NW_003816439.1	79136	518702	+	100921282	CTNNA3	XP_012406173.1	350	PREDICTED: catenin alpha-3
